"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"audioint1";"SSOP-28_5.3x10.2mm_Pitch0.65mm";1;"AUDIOINT_WM8731";;;
2;"U14";"LQFP-64_10x10mm_Pitch0.5mm";1;"STM32F405RGT6";;;
3;"C34,C20,C14,C27";"SMD-1206_Pol1.4mmnew";4;"10u";;;
4;"C25,C26,C21,C22,C23,C24";"SMD-1206_Pol1.4mmnew";6;"10uF";;;
5;"C35,C36";"SMD-1206_Pol1.4mmnew";2;"2.2uF";;;
6;"C38";"SMD-1206_Pol1.4mmnew";1;"4.7uF";;;
7;"R1";"R_0805";1;"200R";;;
8;"R2";"R_0805";1;"10K";;;
9;"R33";"R_0805";1;"1K";;;
10;"R30,R31";"R_0805";2;"4.7K";;;
11;"R28";"R_0805";1;"33K";;;
12;"R27,R32,R34";"R_0805";3;"5.6K";;;
13;"R24";"R_0805";1;"27K";;;
14;"R18,R29";"R_0805";2;"39K";;;
15;"R11,R13,R3,R4,R6";"R_0805";5;"200K";;;
16;"R9,R10,R14,R15,R17";"R_0805";5;"66.5K";;;
17;"R26";"R_0805";1;"330R";;;
18;"C19,C12,C8,C7,C6";"C_0805";5;"1N";;;
19;"C28,C29";"C_0805";2;"18pF";;;
20;"C30";"C_0805";1;"22P";;;
21;"C31";"C_0805";1;"220P";;;
22;"C11,C10,C9,C5,C4,C3,C1,C2,C33,C32";"C_0805";10;"100N";;;
23;"R7,R5";"R_0805";2;"100K";;;
24;"U7";"TO-252-2_Rectifier";1;"LM1117-3.3V";;;
25;"U8";"TO-252-2_Rectifier";1;"LM1117-5V";;;
26;"U5";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"LME";;;
27;"U6,U9,U10";"SOIC-8_3.9x4.9mm_Pitch1.27mm";3;"MCP";;;
28;"D4,D3";"D_SOD-123";2;"DIODE";;;
29;"D5";"SOT-23";1;"LM4040";;;
30;"D2";"LED_0805";1;"LED";;;
31;"L1";"L_0603";1;"INDUCTOR";;;
32;"C18,C17,C15,C13,C16";"C_0805";5;"100nF";;;
33;"R8,R12,R16";"SM0805";3;"100K";;;
34;"P45";"SIL-4";1;"SWD";;;
35;"RV2,RV1,RV3,RV4,RV5";"RV1";5;"POT";;;
36;"X1";"Q_49U3HMS";1;"8_MHz";;;
37;"P1";"PIN_ARRAY_5x2";1;"CONN_5X2";;;
38;"JACK7,JACK6,JACK5,JACK4,JACK3,OUT,IN!";"ERTHENVAR-JACK";7;"AUDIO-JACKERTHENVAR_ERTHENVAR-JACK";;;
39;"SIL-1";"SIL-1";1;"Val**";;;
